ticket_id,ticket_code,ticket_number,ticket_display,event_name,event_date,event_date_text,location,ticket_category,ticket_type,table_number,seat_number,guest_name,display_name,table_line,purchaser_name,purchaser_email,purchaser_phone,price,table_price,payment_status,bracelet_type,ticket_status,checked_in,checked_in_at,checked_in_by,scan_count,last_scanned_at,qr_payload,notes,print_file
AADS-TOC-20260725-VIP-T05-S02-026,AADS-TOC-20260725-VIP-T05-S02-026,VIP-026,TICKET 26/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,5,2,VIP Table 5 Guest 2,VIP Table 5 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T05-S02-026,"Paid VIP Table 5: $110 table package, 6 seats",VIP_026.jpg
AADS-TOC-20260725-VIP-T05-S03-027,AADS-TOC-20260725-VIP-T05-S03-027,VIP-027,TICKET 27/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,5,3,VIP Table 5 Guest 3,VIP Table 5 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T05-S03-027,"Paid VIP Table 5: $110 table package, 6 seats",VIP_027.jpg
AADS-TOC-20260725-VIP-T05-S04-028,AADS-TOC-20260725-VIP-T05-S04-028,VIP-028,TICKET 28/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,5,4,VIP Table 5 Guest 4,VIP Table 5 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T05-S04-028,"Paid VIP Table 5: $110 table package, 6 seats",VIP_028.jpg
AADS-TOC-20260725-VIP-T05-S05-029,AADS-TOC-20260725-VIP-T05-S05-029,VIP-029,TICKET 29/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,5,5,VIP Table 5 Guest 5,VIP Table 5 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T05-S05-029,"Paid VIP Table 5: $110 table package, 6 seats",VIP_029.jpg
AADS-TOC-20260725-VIP-T05-S06-030,AADS-TOC-20260725-VIP-T05-S06-030,VIP-030,TICKET 30/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,5,6,VIP Table 5 Guest 6,VIP Table 5 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T05-S06-030,"Paid VIP Table 5: $110 table package, 6 seats",VIP_030.jpg
AADS-TOC-20260725-VIP-T06-S01-031,AADS-TOC-20260725-VIP-T06-S01-031,VIP-031,TICKET 31/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,6,1,VIP Table 6 Guest 1,VIP Table 6 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T06-S01-031,"Paid VIP Table 6: $110 table package, 6 seats",VIP_031.jpg
AADS-TOC-20260725-VIP-T06-S02-032,AADS-TOC-20260725-VIP-T06-S02-032,VIP-032,TICKET 32/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,6,2,VIP Table 6 Guest 2,VIP Table 6 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T06-S02-032,"Paid VIP Table 6: $110 table package, 6 seats",VIP_032.jpg
AADS-TOC-20260725-VIP-T06-S03-033,AADS-TOC-20260725-VIP-T06-S03-033,VIP-033,TICKET 33/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,6,3,VIP Table 6 Guest 3,VIP Table 6 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T06-S03-033,"Paid VIP Table 6: $110 table package, 6 seats",VIP_033.jpg
AADS-TOC-20260725-VIP-T06-S04-034,AADS-TOC-20260725-VIP-T06-S04-034,VIP-034,TICKET 34/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,6,4,VIP Table 6 Guest 4,VIP Table 6 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T06-S04-034,"Paid VIP Table 6: $110 table package, 6 seats",VIP_034.jpg
AADS-TOC-20260725-VIP-T06-S05-035,AADS-TOC-20260725-VIP-T06-S05-035,VIP-035,TICKET 35/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,6,5,VIP Table 6 Guest 5,VIP Table 6 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T06-S05-035,"Paid VIP Table 6: $110 table package, 6 seats",VIP_035.jpg
